Date,Device,Vehicle,Spend
2021-04-07,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-08,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-09,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-10,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-11,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-12,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-13,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-14,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-15,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-16,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-17,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-18,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-19,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-20,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-21,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-22,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-23,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-24,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-04-25,Roku,Roku Native Display Devil in Disguise ACR,1636.9
2021-03-01,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-02,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-03,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-04,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-05,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-06,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-07,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-08,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-09,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-10,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-11,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-12,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-13,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-14,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-15,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-16,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-17,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-18,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-19,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-20,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-21,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-22,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-23,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-24,Vizio,Vizio Discover Devil in Disguise ACR,208.33
2021-03-25,Vizio,Vizio Discover Devil in Disguise ACR,208.33
