Date,Device,Vehicle,Spend,WeekOfYear
2021-04-25,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,16
2021-04-25,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,16
2021-04-25,Playstation,Playstation Showcase (Movies & TV Explore),16.56,16
2021-04-25,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,16
2021-04-25,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,16
2021-04-25,Playstation,Playstation Showcase (Apps_ Explore),36.77,16
2021-04-26,Playstation,Playstation Showcase (Apps_ Explore),33.9,17
2021-04-26,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",161.75,17
2021-04-26,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",492.07,17
2021-04-26,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",161.03,17
2021-04-26,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",166.01,17
2021-04-26,Playstation,Playstation Main Line Title ( Apps_ Explore),205.18,17
2021-04-26,Playstation,Playstation Showcase (Movies & TV Explore),41.91,17
