Date,Device,CNT,Owner
2021-02-01,amazon fire tablet,3,Amazon
2021-02-01,amazon fire tv,793,Amazon
2021-02-02,amazon fire tablet,1,Amazon
2021-02-02,amazon fire tv,893,Amazon
2021-02-03,amazon fire tablet,1,Amazon
2021-02-03,amazon fire tv,638,Amazon
2021-02-04,amazon fire tv,709,Amazon
2021-02-05,amazon fire tablet,4,Amazon
2021-02-05,amazon fire tv,727,Amazon
2021-02-06,amazon fire tablet,1,Amazon
2021-02-06,amazon fire tv,1034,Amazon
2021-02-07,amazon fire tv,960,Amazon
2021-02-08,amazon fire tablet,1,Amazon
2021-02-08,amazon fire tv,644,Amazon
2021-02-09,amazon fire tablet,1,Amazon
2021-02-09,amazon fire tv,736,Amazon
2021-02-10,amazon fire tablet,2,Amazon
2021-02-10,amazon fire tv,1210,Amazon
2021-02-11,amazon fire tablet,1,Amazon
2021-02-11,amazon fire tv,1308,Amazon
2021-02-12,amazon fire tablet,1,Amazon
2021-02-12,amazon fire tv,1114,Amazon
2021-02-13,amazon fire tablet,1,Amazon
2021-02-13,amazon fire tv,1421,Amazon
2021-02-14,amazon fire tv,1396,Amazon
2021-02-15,amazon fire tablet,1,Amazon
2021-02-15,amazon fire tv,1066,Amazon
2021-02-16,amazon fire tv,958,Amazon
2021-02-17,amazon fire tablet,3,Amazon
2021-02-17,amazon fire tv,889,Amazon
2021-02-18,amazon fire tablet,2,Amazon
2021-02-18,amazon fire tv,898,Amazon
2021-02-19,amazon fire tablet,1,Amazon
2021-02-19,amazon fire tv,865,Amazon
2021-02-20,amazon fire tablet,2,Amazon
2021-02-20,amazon fire tv,1104,Amazon
2021-02-21,amazon fire tablet,3,Amazon
2021-02-21,amazon fire tv,1325,Amazon
2021-02-22,amazon fire tablet,1,Amazon
2021-02-22,amazon fire tv,876,Amazon
2021-02-23,amazon fire tv,792,Amazon
2021-02-24,amazon fire tablet,1,Amazon
2021-02-24,amazon fire tv,701,Amazon
2021-02-25,amazon fire tv,788,Amazon
2021-02-26,amazon fire tv,788,Amazon
2021-02-27,amazon fire tablet,3,Amazon
2021-02-27,amazon fire tv,1173,Amazon
2021-02-28,amazon fire tablet,1,Amazon
2021-02-28,amazon fire tv,1179,Amazon
2021-03-01,amazon fire tablet,8,Amazon
2021-03-01,amazon fire tv,800,Amazon
2021-03-02,amazon fire tablet,2,Amazon
2021-03-02,amazon fire tv,757,Amazon
2021-03-03,amazon fire tablet,2,Amazon
2021-03-03,amazon fire tv,785,Amazon
2021-03-04,amazon fire tablet,1,Amazon
2021-03-04,amazon fire tv,742,Amazon
2021-03-05,amazon fire tablet,1,Amazon
2021-03-05,amazon fire tv,712,Amazon
2021-03-06,amazon fire tv,975,Amazon
2021-03-07,amazon fire tablet,1,Amazon
2021-03-07,amazon fire tv,1046,Amazon
2021-03-08,amazon fire tablet,1,Amazon
2021-03-08,amazon fire tv,707,Amazon
2021-03-09,amazon fire tablet,2,Amazon
2021-03-09,amazon fire tv,687,Amazon
2021-03-10,amazon fire tv,655,Amazon
2021-03-11,amazon fire tablet,3,Amazon
2021-03-11,amazon fire tv,529,Amazon
2021-03-12,amazon fire tv,610,Amazon
2021-03-13,amazon fire tablet,2,Amazon
2021-03-13,amazon fire tv,804,Amazon
2021-03-14,amazon fire tv,864,Amazon
2021-03-15,amazon fire tv,658,Amazon
2021-03-16,amazon fire tablet,2,Amazon
2021-03-16,amazon fire tv,671,Amazon
2021-03-17,amazon fire tablet,2,Amazon
2021-03-17,amazon fire tv,770,Amazon
2021-03-18,amazon fire tablet,2,Amazon
2021-03-18,amazon fire tv,769,Amazon
2021-03-19,amazon fire tablet,2,Amazon
2021-03-19,amazon fire tv,863,Amazon
2021-03-20,amazon fire tablet,2,Amazon
2021-03-20,amazon fire tv,1091,Amazon
2021-03-21,amazon fire tablet,1,Amazon
2021-03-21,amazon fire tv,1976,Amazon
2021-03-22,amazon fire tv,778,Amazon
2021-03-23,amazon fire tablet,2,Amazon
