Date,Device,CNT
8/23/2020,android mobile,19284
8/23/2020,android tv,1805
8/23/2020,apple tv,4976
8/23/2020,chromecast receiver app,1
8/23/2020,cox,4484
8/23/2020,ios mobile,29747
8/23/2020,lg smart tv,2881
8/23/2020,ps4,2593
8/23/2020,roku,87
8/23/2020,samsung tv,209
8/23/2020,unknown,1628
8/23/2020,vizio,4844
8/23/2020,web,10817
8/23/2020,xbox one,1910
8/23/2020,xfinity,32792
8/24/2020,amazon fire tv,3013
8/24/2020,android mobile,16057
8/24/2020,android tv,1392
8/24/2020,apple tv,3681
8/24/2020,chromecast receiver app,1
8/24/2020,cox,3195
8/24/2020,ios mobile,26908
8/24/2020,lg smart tv,2016
8/24/2020,ps4,2125
8/24/2020,roku,82
8/24/2020,samsung tv,183
8/24/2020,unknown,1332
8/24/2020,vizio,3245
8/24/2020,web,12028
8/24/2020,xbox one,1554
8/24/2020,xfinity,26394
8/25/2020,amazon fire tablet,2
8/25/2020,amazon fire tv,2166
8/25/2020,android mobile,14772
8/25/2020,android tv,1174
8/25/2020,apple tv,3092
8/25/2020,chromecast receiver app,1
8/25/2020,cox,2899
8/25/2020,ios mobile,22930
8/25/2020,lg smart tv,1816
8/25/2020,ps4,1936
8/25/2020,roku,65
8/25/2020,samsung tv,153
8/25/2020,unknown,1183
8/25/2020,vizio,3086
8/25/2020,web,10096
8/25/2020,xbox one,1379
8/25/2020,xfinity,23397
8/26/2020,amazon fire tv,1851
8/26/2020,android mobile,14983
8/26/2020,android tv,1463
8/26/2020,apple tv,2873
8/26/2020,cox,2901
8/26/2020,ios mobile,23162
8/26/2020,lg smart tv,1650
8/26/2020,ps4,1854
8/26/2020,roku,59
8/26/2020,samsung tv,162
8/26/2020,unknown,1065
8/26/2020,vizio,2978
8/26/2020,web,9146
8/26/2020,xbox one,1338
8/26/2020,xfinity,22002
8/27/2020,amazon fire tablet,1
8/27/2020,amazon fire tv,1747
8/27/2020,android mobile,13095
8/27/2020,android tv,1326
8/27/2020,apple tv,2666
8/27/2020,cox,2899
8/27/2020,ios mobile,20889
8/27/2020,lg smart tv,1580
8/27/2020,ps4,1778
8/27/2020,roku,57
8/27/2020,samsung tv,125
8/27/2020,unknown,992
8/27/2020,vizio,2997
8/27/2020,web,8380
8/27/2020,xbox one,1336
8/27/2020,xfinity,22008
8/28/2020,amazon fire tv,2486
8/28/2020,android mobile,13828
8/28/2020,android tv,1308
8/28/2020,apple tv,3041
8/28/2020,cox,3066
8/28/2020,ios mobile,21367
8/28/2020,lg smart tv,1733
8/28/2020,ps4,1788
8/28/2020,roku,66
8/28/2020,samsung tv,161
8/28/2020,unknown,1200
8/28/2020,vizio,2884
8/28/2020,web,9371
8/28/2020,xbox one,1526
8/28/2020,xfinity,24442
8/29/2020,amazon fire tablet,1
8/29/2020,amazon fire tv,2770
8/29/2020,android mobile,15811
8/29/2020,android tv,1667
8/29/2020,apple tv,3815
8/29/2020,chromecast receiver app,1
8/29/2020,cox,4262
8/29/2020,ios mobile,24563
8/29/2020,lg smart tv,2304
8/29/2020,ps4,2138
8/29/2020,roku,90
8/29/2020,samsung tv,216
8/29/2020,unknown,1284
8/29/2020,vizio,3784
8/29/2020,web,9648
8/29/2020,xbox one,1927
8/29/2020,xfinity,31774
8/30/2020,amazon fire tv,2595
8/30/2020,android mobile,15050
8/30/2020,android tv,1617
8/30/2020,apple tv,3977
8/30/2020,cox,3840
8/30/2020,ios mobile,25126
8/30/2020,lg smart tv,2439
8/30/2020,ps4,2351
8/30/2020,roku,90
8/30/2020,samsung tv,192
8/30/2020,unknown,1344
8/30/2020,vizio,4531
8/30/2020,web,8922
8/30/2020,xbox one,2036
8/30/2020,xfinity,28241
8/31/2020,amazon fire tablet,1
8/31/2020,amazon fire tv,1727
8/31/2020,android mobile,11673
8/31/2020,android tv,1063
8/31/2020,apple tv,2674
8/31/2020,chromecast receiver app,1
8/31/2020,cox,2532
8/31/2020,ios mobile,20921
8/31/2020,lg smart tv,1567
8/31/2020,ps4,1740
8/31/2020,roku,64
8/31/2020,samsung tv,128
8/31/2020,unknown,945
8/31/2020,vizio,2898
8/31/2020,web,8561
8/31/2020,xbox one,1519
8/31/2020,xfinity,21729
9/1/2020,amazon fire tv,1484
9/1/2020,android mobile,12068
9/1/2020,android tv,955
9/1/2020,apple tv,2349
9/1/2020,chromecast receiver app,1
9/1/2020,cox,2584
9/1/2020,ios mobile,19293
9/1/2020,lg smart tv,1421
9/1/2020,ps4,11262
9/1/2020,roku,66
